,date,Temperature(â„ƒ),Humidity(%RH)
1715,2021-01-30 12:25:19+01:00,4.03,68.76
1714,2021-01-30 12:26:19+01:00,4.01,70.65
1713,2021-01-30 12:27:19+01:00,4.01,70.76
1712,2021-01-30 12:28:19+01:00,4.02,70.88
1711,2021-01-30 12:29:19+01:00,4.02,71.0
1710,2021-01-30 12:30:19+01:00,4.03,71.12
1709,2021-01-30 12:31:19+01:00,4.03,71.23
1708,2021-01-30 12:32:19+01:00,4.04,71.35
1707,2021-01-30 12:33:19+01:00,4.04,71.47
1706,2021-01-30 12:34:19+01:00,4.05,71.59
1705,2021-01-30 12:35:19+01:00,4.06,71.71
1704,2021-01-30 12:36:19+01:00,4.02,70.46
1703,2021-01-30 12:37:19+01:00,4.05,70.34
1702,2021-01-30 12:38:19+01:00,4.08,70.22
1701,2021-01-30 12:39:19+01:00,4.11,70.1
1700,2021-01-30 12:40:19+01:00,4.14,69.98
1699,2021-01-30 12:41:19+01:00,4.18,69.86
1698,2021-01-30 12:42:19+01:00,4.21,69.74
1697,2021-01-30 12:43:19+01:00,4.24,69.62
1696,2021-01-30 12:44:19+01:00,4.27,69.5
1695,2021-01-30 12:45:19+01:00,4.31,69.37
1694,2021-01-30 12:46:19+01:00,4.39,69.2
1693,2021-01-30 12:47:19+01:00,4.49,69.14
1692,2021-01-30 12:48:19+01:00,4.59,69.08
1691,2021-01-30 12:49:19+01:00,4.69,69.02
1690,2021-01-30 12:50:19+01:00,4.79,68.96
1689,2021-01-30 12:51:19+01:00,4.89,68.9
1688,2021-01-30 12:52:19+01:00,4.99,68.84
1687,2021-01-30 12:53:19+01:00,5.09,68.78
1686,2021-01-30 12:54:19+01:00,5.19,68.72
1685,2021-01-30 12:55:19+01:00,5.3,68.66
1684,2021-01-30 12:56:19+01:00,5.47,68.6
1683,2021-01-30 12:57:19+01:00,5.61,68.58
1682,2021-01-30 12:58:19+01:00,5.76,68.55
1681,2021-01-30 12:59:19+01:00,5.9,68.53
1680,2021-01-30 13:00:19+01:00,6.05,68.5
1679,2021-01-30 13:01:19+01:00,6.19,68.48
1678,2021-01-30 13:02:19+01:00,6.34,68.45
1677,2021-01-30 13:03:19+01:00,6.48,68.43
1676,2021-01-30 13:04:19+01:00,6.63,68.4
1675,2021-01-30 13:05:19+01:00,6.78,68.37
1674,2021-01-30 13:06:19+01:00,6.9,68.37
1673,2021-01-30 13:07:19+01:00,7.06,68.37
1672,2021-01-30 13:08:19+01:00,7.22,68.36
1671,2021-01-30 13:09:19+01:00,7.39,68.35
1670,2021-01-30 13:10:19+01:00,7.55,68.34
1669,2021-01-30 13:11:19+01:00,7.71,68.34
1668,2021-01-30 13:12:19+01:00,7.88,68.33
1667,2021-01-30 13:13:19+01:00,8.04,68.32
1666,2021-01-30 13:14:19+01:00,8.2,68.31
1665,2021-01-30 13:15:19+01:00,8.37,68.3
1664,2021-01-30 13:16:19+01:00,8.4,68.3
1663,2021-01-30 13:17:19+01:00,8.52,68.32
1662,2021-01-30 13:18:19+01:00,8.65,68.35
1661,2021-01-30 13:19:19+01:00,8.78,68.38
1660,2021-01-30 13:20:19+01:00,8.91,68.41
1659,2021-01-30 13:21:19+01:00,9.03,68.44
1658,2021-01-30 13:22:19+01:00,9.16,68.47
1657,2021-01-30 13:23:19+01:00,9.29,68.5
1656,2021-01-30 13:24:19+01:00,9.42,68.53
1655,2021-01-30 13:25:19+01:00,9.55,68.56
1654,2021-01-30 13:26:19+01:00,9.65,68.52
1653,2021-01-30 13:27:19+01:00,9.72,68.55
1652,2021-01-30 13:28:19+01:00,9.8,68.59
1651,2021-01-30 13:29:19+01:00,9.87,68.63
1650,2021-01-30 13:30:19+01:00,9.95,68.66
1649,2021-01-30 13:31:19+01:00,10.02,68.7
1648,2021-01-30 13:32:19+01:00,10.1,68.74
1647,2021-01-30 13:33:19+01:00,10.17,68.77
1646,2021-01-30 13:34:19+01:00,10.25,68.81
1645,2021-01-30 13:35:19+01:00,10.33,68.85
1644,2021-01-30 13:36:19+01:00,10.39,68.82
1643,2021-01-30 13:37:19+01:00,10.44,68.84
1642,2021-01-30 13:38:19+01:00,10.49,68.86
1641,2021-01-30 13:39:19+01:00,10.54,68.89
1640,2021-01-30 13:40:19+01:00,10.59,68.91
1639,2021-01-30 13:41:19+01:00,10.65,68.94
1638,2021-01-30 13:42:19+01:00,10.7,68.96
1637,2021-01-30 13:43:19+01:00,10.75,68.99
1636,2021-01-30 13:44:19+01:00,10.8,69.01
1635,2021-01-30 13:45:19+01:00,10.86,69.04
1634,2021-01-30 13:46:19+01:00,10.9,69.04
1633,2021-01-30 13:47:19+01:00,10.93,69.05
1632,2021-01-30 13:48:19+01:00,10.97,69.06
1631,2021-01-30 13:49:19+01:00,11.01,69.07
1630,2021-01-30 13:50:19+01:00,11.05,69.08
1629,2021-01-30 13:51:19+01:00,11.08,69.09
1628,2021-01-30 13:52:19+01:00,11.12,69.1
1627,2021-01-30 13:53:19+01:00,11.16,69.11
1626,2021-01-30 13:54:19+01:00,11.2,69.12
1625,2021-01-30 13:55:19+01:00,11.24,69.13
1624,2021-01-30 13:56:19+01:00,11.2,69.11
1623,2021-01-30 13:57:19+01:00,11.23,69.11
1622,2021-01-30 13:58:19+01:00,11.27,69.12
1621,2021-01-30 13:59:19+01:00,11.31,69.13
1620,2021-01-30 14:00:19+01:00,11.34,69.14
1619,2021-01-30 14:01:19+01:00,11.38,69.15
1618,2021-01-30 14:02:19+01:00,11.42,69.16
1617,2021-01-30 14:03:19+01:00,11.45,69.17
1616,2021-01-30 14:04:19+01:00,11.49,69.18
1615,2021-01-30 14:05:19+01:00,11.53,69.19
1614,2021-01-30 14:06:19+01:00,11.5,69.19
1613,2021-01-30 14:07:19+01:00,11.52,69.19
1612,2021-01-30 14:08:19+01:00,11.54,69.18
1611,2021-01-30 14:09:19+01:00,11.57,69.17
1610,2021-01-30 14:10:19+01:00,11.59,69.16
1609,2021-01-30 14:11:19+01:00,11.62,69.15
1608,2021-01-30 14:12:19+01:00,11.64,69.14
1607,2021-01-30 14:13:19+01:00,11.67,69.13
1606,2021-01-30 14:14:19+01:00,11.69,69.12
1605,2021-01-30 14:15:19+01:00,11.72,69.11
1604,2021-01-30 14:16:19+01:00,11.74,69.19
1603,2021-01-30 14:17:19+01:00,11.76,69.18
1602,2021-01-30 14:18:19+01:00,11.78,69.17
1601,2021-01-30 14:19:19+01:00,11.8,69.16
1600,2021-01-30 14:20:19+01:00,11.82,69.15
1599,2021-01-30 14:21:19+01:00,11.84,69.14
1598,2021-01-30 14:22:19+01:00,11.86,69.13
1597,2021-01-30 14:23:19+01:00,11.88,69.12
1596,2021-01-30 14:24:19+01:00,11.9,69.11
